33
Carbon
0.00000 0.0000 
7.90000 0.0000 
8.00000 0.00050
8.10000 0.00080 
8.20000 0.00110 
8.30000 0.00140
8.40000 0.00170 
8.51000 0.00200 
9.00000 0.00300
10.0000 0.00600 
11.0000 0.01100 
12.0000 0.01500
12.9000 0.01900 
14.1000 0.02300 
15.5000 0.03160
18.8000 0.02830 
20.0000 0.02800 
22.0000 0.02500
24.0000 0.02100 
26.0000 0.02000 
28.0000 0.01800
30.0000 0.01550 
35.0000 0.01240 
40.0000 0.00960
45.0000 0.00750 
50.0000 0.00570 
55.0000 0.00460
60.0000 0.00360 
65.0000 0.00300 
70.0000 0.00230
80.0000 0.00150 
101.000 0.00120
200.000 0.00120




