67
Carbon
0.	4.9   
0.25	4.05
0.5	3.4  
0.8	2.96 
1.	2.58  
1.21	2.34
1.48	2.08
1.72	1.89
2.	1.65  
2.1	2.2
2.2	4.  
2.21	1.61
2.56	1.6 
2.69	1.68
2.83	2.  
2.97	2.85
3.	1.15  
3.1	1.15
3.29	2.3 
3.46	2.5 
3.82	2.2 
4.02	1.87
4.23	2.2 
4.44	1.75
4.67	1.36
4.91	1.2 
5.16	1.11
5.43	1.18
5.7	0.997
6.0	0.917
6.3	1.26 
6.63	0.68
6.97	0.68
7.33	0.68
7.4	0.68 
7.5	0.65 
7.7	0.84 
8.	0.698 
8.1	0.557
8.2	0.508
8.3	0.41 
8.4	0.38 
8.51	0.35
9.	0.3   
10.	0.21 
11.	0.19 
12.	0.17
14.	0.15   
16.	0.14   
18.	0.12   
20.	0.11   
22.	0.095  
24.	0.084  
26.	0.075  
28.	0.067  
30.	0.06   
35.	0.055  
40.	0.05   
45.	0.04   
50.	0.03   
55.	0.025  
60.	0.022  
65.	0.021  
70.	0.019  
80.	0.017  
101.	0.016 
200.	0.016



